Record_number,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Ra_annual,Rh_annual,Rh_ratio,Mean.Temp.,ΔMean.Temp.,Stdev.Temp.30y,Mean.Precip.,ΔMean.Precip.,Stdev.Precip.30y,Latitude2,ΔMAT.Standardized,ΔMAP.Standardized,SOC_015,SOC_200
1604,1996,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,575,345,230,0.4,8.658333333,-0.891145833,0.700860628,68.99166667,-2.121354167,8.289291286,48.67,-1.271502205,-0.255915023,23851,6068
1605,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,663,398,265,0.399698341,8.575,-0.974479167,0.700860628,73.175,2.061979167,8.289291286,48.67,-1.390403638,0.248752167,31763,6068
1694,2005,1,37.25,101.25,37.25 101.25,37.5,101.33,37.5 101.33,4100,3300,Boreal,Grassland,Deciduous,-1.7,580,Gradient,Isotope,Mature,191,55,136,0.712041885,-1.858333333,-0.084375,0.353773334,43.51666667,1.55546875,4.60186023,37.5,-0.238500169,0.33800869,60764,16260
1761,2005,1,-4.75,12.25,-4.75 12.25,4.74,12.02,-4.74 12.02,4476,100,Tropical,Deciduous Forest,Deciduous,25,1274,IRGA,Comparison,Aggrading,662,158,505,0.762839879,25.775,-0.021875,0.310823922,82.99166667,-21.72604167,14.21878822,-4.74,-0.070377466,-1.527981241,34525,9583
1762,2005,1,-4.75,12.25,-4.75 12.25,4.74,12.02,-4.74 12.02,4476,100,Tropical,Deciduous Forest,Deciduous,25,1274,IRGA,Comparison,Aggrading,653,197,456,0.698315467,25.775,-0.021875,0.310823922,82.99166667,-21.72604167,14.21878822,-4.74,-0.070377466,-1.527981241,21875,9583
1785,1998,5,35.75,-79.25,35.75 -79.25,35.97,-79.08,35.97 -79.08,2018,153.9,Temperate,Evergreen Forest,Evergreen,14.83833333,103.825,IRGA,Extraction,Aggrading,928,723,208,0.224137931,14.83833333,-0.055677083,0.559635212,103.825,6.971614583,14.36560917,35.97,-0.09948817,0.485298918,10500,4986
1786,1998,5,35.75,-79.25,35.75 -79.25,35.97,-79.08,35.97 -79.08,2018,153.9,Temperate,Evergreen Forest,Evergreen,14.83833333,103.825,IRGA,Extraction,Aggrading,1176,611,565,0.480442177,14.83833333,-0.055677083,0.559635212,103.825,6.971614583,14.36560917,35.97,-0.09948817,0.485298918,11892,4986
1794,1999,1,40.25,-75.75,40.25 -75.75,40.4,-75.6,40.4 -75.6,2095,173.3,Temperate,Others,Evergreen,12.20833333,67.79166667,IRGA,Subtraction,Mature,305,115,240,0.786885246,12.20833333,0.255989583,0.681525093,67.79166667,-26.66328125,14.05679426,40.4,0.375612851,-1.896825176,17838,3174
1846,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Deciduous Forest,Deciduous,2.3,525,IRGA,Exclusion,Aggrading,682,273,409,0.599706745,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1847,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Deciduous Forest,Deciduous,NA,NA,IRGA,Exclusion,Aggrading,805,300,505,0.627329193,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1848,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Evergreen Forest,Evergreen,NA,NA,IRGA,Exclusion,Aggrading,559,218,341,0.610017889,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1849,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Evergreen Forest,Evergreen,NA,NA,IRGA,Exclusion,Aggrading,524,205,320,0.610687023,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1850,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Deciduous Forest,Deciduous,NA,NA,IRGA,Exclusion,Aggrading,938,477,461,0.491471215,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1851,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,37,Boreal,Deciduous Forest,Deciduous,NA,NA,IRGA,Exclusion,Aggrading,668,218,450,0.673652695,NA,NA,NA,NA,NA,NA,65.92,NA,NA,91054,83538
1888,2005,1,44.25,-121.75,44.25 -121.75,44.45,-121.56,44.45 -121.56,4348,1255,Temperate,Evergreen Forest,Evergreen,4.233333333,90.91666667,IRGA,Exclusion,Mature,836,217,619,0.740430622,4.233333333,0.1671875,0.544925798,90.91666667,-32.5921875,27.05208584,44.45,0.306807827,-1.204793882,24052,0
1902,2004,1,54.25,-105.25,54.25 -105.25,54,-105.1,54 -105.1,4303,591.4,Boreal,Evergreen Forest,Evergreen,0.4,457,IRGA,Exclusion,Mature,611,342,269,0.440261866,0.025,-0.038020833,1.009660434,40.925,2.88984375,5.338316637,54,-0.03765705,0.541339892,102221,49878
1968,2000.5,2,-2.75,-59.75,-62.5,3,-60,-63,2552,50,Tropical,Evergreen Forest,Evergreen,26.7,2300,IRGA,Subtraction,Mature,984,550,434,0.441056911,NA,NA,NA,NA,NA,NA,-3,NA,NA,19952,5716
1969,2000.5,2,-2.75,-59.75,-62.5,3,-60,-63,2552,100,Tropical,Evergreen Forest,Evergreen,26.7,2300,IRGA,Subtraction,Mature,1211,550,661,0.545829893,NA,NA,NA,NA,NA,NA,-3,NA,NA,14416,5716
1970,2000.5,2,-2.75,-59.75,-62.5,3,-60,-63,2552,150,Tropical,Evergreen Forest,Evergreen,26.7,2300,IRGA,Subtraction,Mature,1438,550,888,0.617524339,NA,NA,NA,NA,NA,NA,-3,NA,NA,14464,5716
1985,1996.5,2,19.75,-155.25,19.75 -155.25,19.84,-155.12,19.84 -155.12,2607,350,Tropical,Others,,21,3600,IRGA,Extraction,Aggrading,2220,1620,600,0.27027027,17.47083333,0.401822917,0.424775126,342.8416667,-37.64088542,69.0994698,19.84,0.94596621,-0.544734794,95824,61490
1986,1996.5,2,19.75,-155.25,19.75 -155.25,19.84,-155.12,19.84 -155.12,2607,350,Tropical,Others,,21,3600,IRGA,Extraction,Aggrading,1840,1260,580,0.315217391,17.47083333,0.401822917,0.424775126,342.8416667,-37.64088542,69.0994698,19.84,0.94596621,-0.544734794,95824,61490
2016,2000,1,36.75,138.25,36.75 138.25,36.52,138.35,36.52 138.35,2842,1300,Temperate,Grassland,Deciduous,11.30833333,109.675,IRGA,Extraction,Mature,1387,649,738,0.532083634,11.30833333,0.098958333,0.479869425,109.675,14.42890625,13.84897737,36.52,0.206219293,1.041875213,80456,38936
2017,2001,1,36.75,138.25,36.75 138.25,36.52,138.35,36.52 138.35,2842,1300,Temperate,Grassland,Deciduous,11.24166667,106.1833333,IRGA,Extraction,Mature,1408,695,713,0.506392045,11.24166667,0.032291667,0.479869425,106.1833333,10.93723958,13.84897737,36.52,0.067292611,0.789750701,122019,38936
2026,1999.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Evergreen Forest,Evergreen,7.5,900,Gas Chromatography,Subtraction,Mature,540,270,270,0.5,9.283333333,0.5921875,0.763695778,70.075,0.955208333,12.11629881,51.77,0.775423299,0.078836644,183714,36544
2027,1999.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Evergreen Forest,Evergreen,7.5,900,Gas Chromatography,Subtraction,Mature,570,330,240,0.421052632,9.283333333,0.5921875,0.763695778,70.075,0.955208333,12.11629881,51.77,0.775423299,0.078836644,183714,36544
2028,1999.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,640,410,230,0.359375,9.283333333,0.5921875,0.763695778,70.075,0.955208333,12.11629881,51.77,0.775423299,0.078836644,183714,36544
2029,1999.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,640,400,240,0.375,9.283333333,0.5921875,0.763695778,70.075,0.955208333,12.11629881,51.77,0.775423299,0.078836644,183714,36544
2030,2000.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Evergreen Forest,Evergreen,7.5,900,Gas Chromatography,Subtraction,Mature,550,270,280,0.509090909,9.575,0.883854167,0.763695778,62.5,-6.619791667,12.11629881,51.77,1.157338029,-0.546354276,183714,36544
2031,2000.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Evergreen Forest,Evergreen,7.5,900,Gas Chromatography,Subtraction,Mature,660,330,330,0.5,9.575,0.883854167,0.763695778,62.5,-6.619791667,12.11629881,51.77,1.157338029,-0.546354276,183714,36544
2032,2000.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,710,410,300,0.422535211,9.575,0.883854167,0.763695778,62.5,-6.619791667,12.11629881,51.77,1.157338029,-0.546354276,183714,36544
2033,2000.5,1,51.75,9.75,51.75 9.75,51.77,9.58,51.77 9.58,2879,375,Temperate,Deciduous Forest,Deciduous,7.5,900,Gas Chromatography,Subtraction,Mature,770,400,370,0.480519481,9.575,0.883854167,0.763695778,62.5,-6.619791667,12.11629881,51.77,1.157338029,-0.546354276,183714,36544
2050,2000,5,43.75,-71.75,43.75 -71.75,43.93,-71.75,43.93 -71.75,2926,600,Temperate,Deciduous Forest,Deciduous,6.84,1395,IRGA,Exclusion,Mature,660,260,400,0.606060606,6.84,0.5884375,0.771124595,79.665,-7.972239583,13.97102344,43.93,0.763090042,-0.570626742,110880,31460
2134,2000.5,2,36.25,137.25,36.25 137.25,36.13,137.43,36.13 137.43,3017,1430,Temperate,Deciduous Forest,Deciduous,6.1,2175,IRGA,Exclusion,Aggrading,1060,480,580,0.547169811,10.34166667,0.12578125,0.489702796,144.7541667,-0.951302083,20.73369492,36.13,0.25685222,-0.045881937,96096,34742
2200,2001,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Evergreen Forest,Evergreen,2.8,724,IRGA,Equation,Mature,438,159,279,0.636986301,2.8,0.0703125,0.920152723,53.96666667,-1.37265625,6.256958706,62.87,0.076413945,-0.219380743,121440,79128
2201,2002,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Evergreen Forest,Evergreen,2.508333333,724,IRGA,Equation,Mature,512,178,334,0.65234375,2.508333333,-0.221354167,0.920152723,53.51666667,-1.82265625,6.256958706,62.87,-0.240562421,-0.291300668,121440,79128
2202,2003,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Evergreen Forest,Evergreen,0.3,724,IRGA,Equation,Mature,598,226,372,0.622073579,0.3,-2.4296875,0.920152723,42.20833333,-13.13098958,6.256958706,62.87,-2.640526337,-2.098621743,121440,79128
2203,2004,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Evergreen Forest,Evergreen,2.616666667,724,IRGA,Equation,Mature,439,138,301,0.685649203,2.616666667,-0.113020833,0.920152723,61.2,5.860677083,6.256958706,62.87,-0.122828342,0.936665457,130410,79128
2204,2001,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,1423,688,736,0.517217147,18.025,0.179427083,0.34799462,159.8083333,22.53307292,24.84133277,26.19,0.515603038,0.907079871,12864,7605
2205,2001,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,981,406,576,0.587155963,18.025,0.179427083,0.34799462,159.8083333,22.53307292,24.84133277,26.19,0.515603038,0.907079871,12864,7605
2206,2001,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,476,194,282,0.592436975,18.025,0.179427083,0.34799462,159.8083333,22.53307292,24.84133277,26.19,0.515603038,0.907079871,12864,7605
2207,2002,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,1502,730,772,0.513981358,18.46666667,0.62109375,0.34799462,122.7166667,-14.55859375,24.84133277,26.19,1.784779748,-0.586063312,12864,7605
2208,2002,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,1045,447,598,0.572248804,18.46666667,0.62109375,0.34799462,122.7166667,-14.55859375,24.84133277,26.19,1.784779748,-0.586063312,12864,7605
2209,2002,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,509,211,298,0.58546169,18.46666667,0.62109375,0.34799462,122.7166667,-14.55859375,24.84133277,26.19,1.784779748,-0.586063312,19568,7605
2210,2003,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,1246,578,669,0.536918138,17.79166667,-0.05390625,0.34799462,142.575,5.299739583,24.84133277,26.19,-0.154905412,0.213343609,19568,7605
2211,2003,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,843,356,487,0.577698695,17.79166667,-0.05390625,0.34799462,142.575,5.299739583,24.84133277,26.19,-0.154905412,0.213343609,19568,7605
2212,2003,1,26.25,117.25,26.25 117.25,26.19,117.43,26.19 117.43,4155,179,Subtropical,Evergreen Forest,Evergreen,19.1,1749,Alkali absorption,Exclusion,Mature,399,155,245,0.614035088,17.79166667,-0.05390625,0.34799462,142.575,5.299739583,24.84133277,26.19,-0.154905412,0.213343609,19568,7605
2214,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,53,Tropical,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,2030,820,1210,0.596059113,27.16666667,0.064322917,0.428725967,373.3166667,-0.827864583,61.83725053,10.44,0.150032705,-0.013387797,42328,46354
2215,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,53,Tropical,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,1770,890,880,0.497175141,27.16666667,0.064322917,0.428725967,373.3166667,-0.827864583,61.83725053,10.44,0.150032705,-0.013387797,42328,46354
2216,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,53,Tropical,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,1610,890,720,0.447204969,27.16666667,0.064322917,0.428725967,373.3166667,-0.827864583,61.83725053,10.44,0.150032705,-0.013387797,42328,46354
2217,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,53,Tropical,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,1800,1110,690,0.383333333,27.16666667,0.064322917,0.428725967,373.3166667,-0.827864583,61.83725053,10.44,0.150032705,-0.013387797,42328,46354
2218,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,53,Tropical,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,2360,1340,1020,0.43220339,27.16666667,0.064322917,0.428725967,373.3166667,-0.827864583,61.83725053,10.44,0.150032705,-0.013387797,42328,46354
2234,2001.5,1,36.25,140.25,36.25 140.25,36.32,140.15,36.32 140.15,4062,470,Temperate,Deciduous Forest,Deciduous,13.1,1330,Gas Chromatography,Isotope,Mature,485,145,340,0.701030928,13.625,-0.29453125,0.523469688,110.125,-5.58984375,14.47834435,36.32,-0.562651968,-0.386083078,52470,24372
2259,1999,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,906,410.418,496,0.547461369,10.55833333,0.342447917,0.489702796,169.9333333,24.22786458,20.73369492,36.13,0.699297451,1.168526144,52470,27412
2260,2000,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,821,371.913,449,0.546894032,10.28333333,0.067447917,0.489702796,147.1916667,1.486197917,20.73369492,36.13,0.13773235,0.071680321,52470,27412
2261,2001,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,870,394.11,476,0.547126437,10.4,0.184114583,0.489702796,142.3166667,-3.388802083,20.73369492,36.13,0.375972089,-0.163444195,103584,27412
2262,2002,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,817,370.101,447,0.547123623,10.5,0.284114583,0.489702796,126.4,-19.30546875,20.73369492,36.13,0.580177581,-0.931115695,96612,27412
2263,2003,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,772,349.716,422,0.546632124,9.925,-0.290885417,0.489702796,142.6416667,-3.063802083,20.73369492,36.13,-0.594003994,-0.147769228,96612,27412
2273,2004.5,1,-1.75,-51.25,-53,1.72,-51.46,-53.18,3983,139,Tropical,Evergreen Forest,Evergreen,NA,2500,IRGA,Extraction,Mature,1300,600,700,0.538461538,NA,NA,NA,NA,NA,NA,-1.72,NA,NA,30264,11664
2274,2004.5,1,-1.75,-51.25,-53,1.72,-51.46,-53.18,3983,139,Tropical,Evergreen Forest,Evergreen,NA,2500,IRGA,Extraction,Mature,1300,700,600,0.461538462,NA,NA,NA,NA,NA,NA,-1.72,NA,NA,27014,11664
2275,2004.5,1,-1.75,-51.25,-53,1.72,-51.46,-53.18,3983,139,Tropical,Evergreen Forest,Evergreen,NA,2500,IRGA,Extraction,Mature,1300,700,600,0.461538462,NA,NA,NA,NA,NA,NA,-1.72,NA,NA,42328,11664
2276,2004.5,1,-1.75,-51.25,-53,1.72,-51.46,-53.18,3983,139,Tropical,Evergreen Forest,Evergreen,NA,2500,IRGA,Extraction,Mature,1700,900,800,0.470588235,NA,NA,NA,NA,NA,NA,-1.72,NA,NA,31954,11664
2295,2003,1,50.25,4.25,50.25 4.25,50.02,4.4,50.02 4.4,3893,310,Temperate,Deciduous Forest,Deciduous,8,1000,IRGA,Extraction,Mature,922,295.04,627,0.680043384,9.716666667,0.2546875,0.687924721,77.725,4.3015625,11.59581905,50.02,0.370225829,0.370958056,63908,15411
2296,2003,1,50.25,4.25,50.25 4.25,50.02,4.4,50.02 4.4,3893,310,Temperate,Deciduous Forest,Deciduous,8,1000,IRGA,Extraction,Mature,770,200.2,570,0.74025974,9.716666667,0.2546875,0.687924721,77.725,4.3015625,11.59581905,50.02,0.370225829,0.370958056,29068,15411
2297,2003,1,50.25,4.25,50.25 4.25,50.02,4.4,50.02 4.4,3893,310,Temperate,Deciduous Forest,Deciduous,8,1000,IRGA,Extraction,Mature,820,401.8,418,0.509756098,9.716666667,0.2546875,0.687924721,77.725,4.3015625,11.59581905,50.02,0.370225829,0.370958056,66456,15411
2307,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,675,290,385,0.57037037,6.0125,-0.0796875,1.060464525,64.87083333,2.8796875,7.83578822,45.59,-0.075143956,0.367504509,52470,19236
2308,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,422,360,0.460358056,6.0125,-0.0796875,1.060464525,64.87083333,2.8796875,7.83578822,45.59,-0.075143956,0.367504509,52470,19236
2309,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,782,368,414,0.529411765,6.0125,-0.0796875,1.060464525,64.87083333,2.8796875,7.83578822,45.59,-0.075143956,0.367504509,52470,19236
2310,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,1090,643,447,0.410091743,6.0125,-0.0796875,1.060464525,64.87083333,2.8796875,7.83578822,45.59,-0.075143956,0.367504509,52470,19236
2311,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,930,474,456,0.490322581,6.0125,-0.0796875,1.060464525,64.87083333,2.8796875,7.83578822,45.59,-0.075143956,0.367504509,52470,19236
2330,2003,1,38.75,-120.75,38.75 -120.75,38.9,-120.63,38.9 -120.63,3159,1315,Mediterranean,Evergreen Forest,Evergreen,16.03333333,1660,Gradient,Exclusion,Aggrading,1184,524,660,0.557432432,16.03333333,0.5328125,0.835578823,48.29166667,-11.41770833,22.33470967,38.9,0.637656778,-0.511209167,49225,5680
2588,1998.5,3,62.25,129.25,62.25 129.25,62.22,129.17,62.22 129.17,2437,225,Boreal,Deciduous Forest,Deciduous,-10,237,Unknown,Extraction,Mature,225,200,25,0.111111111,-10.21944444,-0.156684028,0.870004853,22.11666667,2.849479167,3.691590027,62.22,-0.180095579,0.77188397,100240,77490
2589,1998.5,3,62.25,129.25,62.25 129.25,62.22,129.17,62.22 129.17,2437,225,Boreal,Deciduous Forest,Deciduous,-10,237,Unknown,Extraction,Aggrading,119,0,119,1,-10.21944444,-0.156684028,0.870004853,22.11666667,2.849479167,3.691590027,62.22,-0.180095579,0.77188397,100240,77490
2590,1999.5,2,62.25,129.25,62.25 129.25,62.22,129.17,62.22 129.17,2437,225,Boreal,Deciduous Forest,Deciduous,-10,237,Unknown,Extraction,Aggrading,184,138,46,0.25,-10.32083333,-0.258072917,0.870004853,23.3375,4.0703125,3.691590027,62.22,-0.296633882,1.10259061,100240,77490
2591,1998.5,3,62.25,129.25,62.25 129.25,62.3,129.5,62.3 129.5,2437,225,Boreal,Deciduous Forest,Deciduous,-10,237,Unknown,Extraction,Mature,273,232,41,0.15018315,-10.21944444,-0.156684028,0.870004853,22.11666667,2.849479167,3.691590027,62.3,-0.180095579,0.77188397,113460,64600
2592,1997,1,62.25,129.25,62.25 129.25,62.2,129.1,62.2 129.1,2437,225,Boreal,Deciduous Forest,Deciduous,-10,237,Unknown,Extraction,Aggrading,27,0,27,1,-10.05833333,0.004427083,0.870004853,21.725,2.4578125,3.691590027,62.2,0.005088573,0.66578696,52470,19236
2656,1996.5,1,18.25,-65.75,18.25 -65.75,18.3,-65.83,18.3 -65.83,3450,400,Tropical,Evergreen Forest,Evergreen,22.3,3920,Alkali absorption,Exclusion,Mature,770,478,292,0.379220779,21.75833333,-0.436979167,0.452489301,271.7916667,30.17161458,40.52530429,18.3,-0.965722649,0.744512968,53680,29524
2657,1996.5,1,18.25,-65.75,18.25 -65.75,18.3,-65.83,18.3 -65.83,3450,400,Tropical,Evergreen Forest,Evergreen,22.3,3920,Alkali absorption,Exclusion,Mature,1048,675,372,0.354961832,21.75833333,-0.436979167,0.452489301,271.7916667,30.17161458,40.52530429,18.3,-0.965722649,0.744512968,53680,29524
2698,2001,1,51.25,4.75,51.25 4.75,51.31,4.52,51.31 4.52,3503,16,Temperate,Mixed Forest,Mixed,9.8,750,IRGA,Subtraction,Mature,580,175,460,0.793103448,10.73333333,0.04140625,0.677295774,81.01666667,12.93151042,9.879494148,51.31,0.061134665,1.308924346,26840,1402
2729,2002.5,2,35.25,135.75,35.25 135.75,35.02,135.79,35.02 135.79,3592,100,Temperate,Deciduous Forest,Deciduous,12.60416667,1419,IRGA,Exclusion,Mature,930,420,510,0.548387097,12.60416667,-0.0125,0.484282329,147.35,-12.51536458,17.59589619,35.02,-0.02581139,-0.711266107,25240,10872
2730,2002.5,2,35.75,135.25,35.75 135.25,35.63,135.17,35.63 135.17,3592,650,Temperate,Deciduous Forest,Deciduous,15.39166667,1739,IRGA,Exclusion,Mature,770,380,400,0.519480519,15.39166667,0.02265625,0.530603647,187.9458333,-3.6953125,14.88296094,35.63,0.042699009,-0.248291487,95625,21675
2731,2002.5,2,35.75,135.25,35.75 135.25,35.62,135.18,35.62 135.18,3592,610,Temperate,Deciduous Forest,Deciduous,15.39166667,1739,IRGA,Exclusion,Mature,920,400,520,0.565217391,15.39166667,0.02265625,0.530603647,187.9458333,-3.6953125,14.88296094,35.62,0.042699009,-0.248291487,86620,31680
2732,2002.5,2,35.75,135.25,35.75 135.25,35.62,135.18,35.62 135.18,3592,680,Temperate,Deciduous Forest,Deciduous,15.39166667,1739,IRGA,Exclusion,Mature,820,280,550,0.670731707,15.39166667,0.02265625,0.530603647,187.9458333,-3.6953125,14.88296094,35.62,0.042699009,-0.248291487,86620,31680
2733,2002.5,2,35.75,138.25,35.75 138.25,35.96,138.47,35.96 138.47,3592,1440,Temperate,Deciduous Forest,Deciduous,7.158333333,1555,IRGA,Exclusion,Mature,500,150,340,0.68,7.158333333,-0.04140625,0.442788552,91.55416667,-10.10651042,18.85315945,35.96,-0.093512467,-0.536064549,61000,28534
2743,2005.5,1,31.25,105.25,31.25 105.25,31.27,105.47,31.27 105.47,4629,500,Subtropical,Evergreen Forest,Evergreen,17.3,826,IRGA,Exclusion,Mature,627,232,395,0.629984051,16.41666667,-0.206510417,0.54780336,71.20833333,-4.145052083,9.765540097,31.27,-0.376979098,-0.424457024,17080,7640
2746,2003,1,52.75,-7.25,52.75 -7.25,52.95,-7.25,52.95 -7.25,3561,260,Temperate,Evergreen Forest,Evergreen,9.3,804,IRGA,Exclusion,Aggrading,991,566,425,0.428859738,9.916666667,0.105989583,0.510116682,88.55,14.27916667,13.75235603,52.95,0.207775176,1.038306937,91500,14820
2747,2003,1,52.75,-7.25,52.75 -7.25,52.95,-7.25,52.95 -7.25,3561,260,Temperate,Evergreen Forest,Evergreen,9.3,804,IRGA,Exclusion,Aggrading,686,365,321,0.467930029,9.916666667,0.105989583,0.510116682,88.55,14.27916667,13.75235603,52.95,0.207775176,1.038306937,91500,14820
2748,2003,1,52.75,-7.25,52.75 -7.25,52.95,-7.25,52.95 -7.25,3561,260,Temperate,Evergreen Forest,Evergreen,9.3,804,IRGA,Exclusion,Aggrading,556,292,264,0.474820144,9.916666667,0.105989583,0.510116682,88.55,14.27916667,13.75235603,52.95,0.207775176,1.038306937,42328,14820
2749,2003,1,52.75,-7.25,52.75 -7.25,52.95,-7.25,52.95 -7.25,3561,260,Temperate,Evergreen Forest,Evergreen,9.3,804,IRGA,Exclusion,Aggrading,564,257,307,0.544326241,9.916666667,0.105989583,0.510116682,88.55,14.27916667,13.75235603,52.95,0.207775176,1.038306937,90300,14820
